Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
3/24/21,6061,12,Placer County,CA,17.4,69392,69391,20.3,69337,22.3,41567,52.4,96.7,113727,28.6,113721,33.2,113229,36.5,57955,73,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Mod-High VC/Low SVI
3/24/21,6017,12,El Dorado County,CA,15.1,29210,29210,17.3,29173,18.9,17108,40.4,96.7,47525,24.6,47512,28.1,47371,30.6,25605,60.5,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
3/24/21,6051,12,Mono County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
3/24/21,6091,12,Sierra County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
3/24/21,6079,12,San Luis Obispo County,CA,13.3,37626,37626,15,37597,16.1,24149,40.9,96.7,63685,22.5,63681,25.4,63572,27.2,36973,62.6,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
3/24/21,6067,12,Sacramento County,CA,12.9,199947,199937,15.2,199737,16.8,99409,44.2,96.7,361157,23.3,361077,27.5,359780,30.3,146731,65.2,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
3/24/21,6049,12,Modoc County,CA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
3/24/21,6089,12,Shasta County,CA,10.8,19425,19424,12.6,19390,13.7,11367,29.9,96.7,34694,19.3,34690,22.5,34588,24.5,18999,49.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
3/24/21,6071,12,San Bernardino County,CA,10.5,228687,228678,12.7,228486,14.2,106375,40.8,96.7,399686,18.3,399547,22.1,398433,24.7,159001,61,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/24/21,6007,12,Butte County,CA,16,35046,35046,18.5,35014,20,18538,46.1,96.7,55474,25.3,55469,29.2,55359,31.7,26584,66.1,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/24/21,6055,12,Napa County,CA,19.5,26877,26877,22.3,26852,24.4,14456,53.2,96.7,47284,34.3,47257,39.3,47125,42.9,20478,75.4,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Mod-High VC/Mod-High SVI
3/24/21,6023,12,Humboldt County,CA,15.5,21005,21005,17.7,20985,19.1,10260,40.7,96.7,32945,24.3,32943,27.8,32901,29.9,16286,64.7,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
3/24/21,6047,12,Merced County,CA,7.6,21139,21114,9.4,21084,10.7,12013,38,96.7,50328,18.1,50282,22.4,50161,25.5,20894,66,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
