date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
2/8/21,Sutter,County,105747,27,8578,1,97,490,75336,35,9480,11,8526,0,92,136
2/10/21,Calaveras,County,44289,8,1868,0,46,153,31730,8,2072,3,1850,0,21,136
8/31/20,Yuba,County,79290,14,916,0,5,173,14140,27,1074,-2,830,0,1,136
8/12/20,Amador,County,38531,6,256,1,11,435,10689,4,278,10,197,5,8,136
4/6/21,Sutter,County,105747,7,9171,0,110,523,90948,9,10137,10,9179,0,106,136
6/3/21,Calaveras,County,44289,1,2181,0,55,110,43931,2,2445,5,2179,0,55,136
11/21/20,Trinity,County,13354,1,165,0,0,2,4691,0,148,8,110,0,0,136
11/25/20,Amador,County,38531,25,581,0,16,765,33875,18,630,14,484,0,16,136
9/8/20,Sutter,County,105747,17,1544,0,10,516,22270,22,1694,5,1473,0,11,136
5/5/20,Merced,County,287420,0,220,0,3,219,3536,4,223,3,141,0,3,136
5/8/20,Humboldt,County,134098,1,68,0,0,221,3694,1,63,0,54,0,0,136
6/17/20,Humboldt,County,134098,3,138,0,4,230,10182,0,139,0,105,0,3,136
7/12/21,Imperial,County,191649,11,28803,0,742,788,336175,24,32589,2,28789,0,741,136
7/12/21,Napa,County,139652,3,10128,0,80,368,293514,2,10841,4,10104,0,81,136
8/27/20,Nevada,County,98710,3,456,0,4,226,21957,4,425,3,435,3,5,136
11/18/20,Nevada,County,98710,41,1135,0,7,693,44174,38,1004,15,933,0,9,136
10/4/20,San Joaquin,County,782545,26,20706,4,510,573,256335,21,25011,-2,20320,0,476,1360
12/28/20,Placer,County,400434,290,14650,0,173,2580,224014,242,14768,217,13234,0,126,1360
12/4/20,Tulare,County,484423,395,24438,2,353,2177,257371,415,27422,280,22273,1,322,1360
1/25/21,Riverside,County,2468145,1597,265879,27,3601,14696,2093814,2127,306004,1315,258082,28,2789,13611
12/17/20,San Bernardino,County,2217398,4595,169336,43,2046,25040,1471303,5752,191978,6273,149838,22,1425,13611
11/30/20,California,State,40129160,32562,1356801,165,20858,372629,25337812,36725,1543121,12221,1225189,29,19249,136142
5/5/21,San Diego,County,3370418,166,278177,2,3746,15436,4289496,228,298163,219,277098,3,3716,13619
5/5/20,San Bernardino,County,2217398,142,3171,3,125,1823,36473,182,3599,161,2345,5,104,1362
7/14/20,Stanislaus,County,562303,300,7868,2,86,2414,68965,380,8970,307,5631,0,53,1363
8/18/20,Kern,County,927251,148,28707,5,300,2032,223803,201,31687,205,26978,14,263,1363
